Data Year,Region Name,AMP Resistance Percentage,AUG Resistance Percentage,AXO Resistance Percentage,CHL Resistance Percentage,CIP Resistance Percentage,COT Resistance Percentage,FIS Resistance Percentage,FOX Resistance Percentage,GEN Resistance Percentage,NAL Resistance Percentage,STR Resistance Percentage,TET Resistance Percentage,Total Resistance Percentage
2013,Region 5,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,1.2,3.61,14.45
2013,Region 6,7.14,0.0,0.0,0.0,0.0,7.14,3.57,0.0,0.0,10.71,3.57,7.14,39.269999999999996
2013,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Region 8,6.25,0.0,6.25,6.25,0.0,0.0,6.25,0.0,0.0,6.25,6.25,6.25,43.75
2013,Region 9,3.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,7.41,3.7,18.51
2014,Region 1,6.25,0.0,0.0,3.12,0.0,0.0,3.12,0.0,0.0,9.38,6.25,6.25,34.370000000000005
2014,Region 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
2014,Region 2,2.63,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,2.63,2.63,2.63,13.149999999999999
2014,Region 3,7.84,0.0,0.0,1.96,0.0,1.96,5.88,0.0,0.0,11.76,5.88,3.92,39.2
2014,Region 4,4.62,1.54,1.54,3.08,1.54,1.54,3.08,3.08,0.0,6.15,6.15,3.08,35.39999999999999
2014,Region 5,3.16,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,10.53,1.05,1.05,16.84
2014,Region 6,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,5.26,2.63,2.63,13.149999999999999
2014,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26
2014,Region 9,2.13,2.13,2.13,0.0,0.0,0.0,0.0,2.13,0.0,12.77,2.13,4.26,27.68
2015,Region 1,9.68,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,22.58,12.9,6.45,58.059999999999995
2015,Region 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,10.0,6.67,30.0
2015,Region 2,6.52,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,26.09,4.35,4.35,43.480000000000004
2015,Region 3,2.08,0.0,0.0,0.0,0.0,2.08,4.17,0.0,2.08,14.58,6.25,2.08,33.32
